instrument_name,path_to_instrument_folder,has_header_info,has_header,header_start,time_header_name,time_format,separator,file_type,column_names
ccn,C:\Users\haika\Desktop\May_Research\campaign_data\WECAN\ccn,TRUE,TRUE,last,Time_UTC,S,",",ict,Time_UTC;SS;N_CCN
nav,C:\Users\haika\Desktop\May_Research\campaign_data\WECAN\nav,TRUE,TRUE,last,Start_UTC,S,",",ict,Start_UTC;ATTACK;ATX;CONC2DCA_LPO;CONC2DCA_LPC;CONCP_RPI;CONCD_RPC;CONCU100_RPO;CONCU500_RPO;CONCU_RPO;DBAR2DCA_LPO;DBAR2DCA_LPC;DBARD_RPC;DBARP_RPI;DBARU_RPO;DPXC;EWX;GGALT;GGLAT;GGLON;GGSPD;GGTRK;GGVEW;GGVNS;MR;PALT;PALTF;PCAB;PITCH;PLWCC;PLWCD_RPC;PSXC;QCXC;RHODT;RHUM;RICE;ROLL;SOLAZ;SOLDE;SOLEL;SOLZE;SSLIP;TASX;TCABF_L1;TCABM_L6;TCABA_R8;TCNTP_RPI;TCNTU_RPO;TCNTU_CVIU;TKAT;THDG;THETA;THETAE;THETAP;THETAQ;THETAV;TVIR;UIC;UXC;VEWC;VIC;VNSC;VYC;WDC;WIC;WSC;MACHX;MR_UVH;SFC_SRTM;ALTG_SRTM
pas caps,C:\Users\haika\Desktop\May_Research\campaign_data\WECAN\pas caps,TRUE,TRUE,last,Sample_time,S,",",ict,Sample_time;Absorption_405_dry_STP;Absorption_660_dry_STP;Absorption_405_den_STP;Absorption_660_den_STP;Extinction_450_STP;Extinction_660_STP;Scattering_450_STP;Scattering_660_STP;Abs_405_CVI_amb;Abs_660_CVI_amb
smps,C:\Users\haika\Desktop\May_Research\campaign_data\WECAN\smps,TRUE,TRUE,last,start_TOD_UTC,S,",",ict,start_TOD_UTC;end_TOD_UTC;tmid_TOD_UTC;integrated_N;DP01_nm;DP02_nm;DP03_nm;DP04_nm;DP05_nm;DP06_nm;DP07_nm;DP08_nm;DP09_nm;DP10_nm;DP11_nm;DP12_nm;DP13_nm;DP14_nm;DP15_nm;dN_dlogDp_01;dN_dlogDp_02;dN_dlogDp_03;dN_dlogDp_04;dN_dlogDp_05;dN_dlogDp_06;dN_dlogDp_07;dN_dlogDp_08;dN_dlogDp_09;dN_dlogDp_10;dN_dlogDp_11;dN_dlogDp_12;dN_dlogDp_13;dN_dlogDp_14;dN_dlogDp_15;DMA_type;Inlet_type;scan_direction;Ambient_temperature;Ambient_Pressure
sp2,C:\Users\haika\Desktop\May_Research\campaign_data\WECAN\sp2,TRUE,TRUE,last,Start_Time_UTC,S,",",ict,Start_Time_UTC;Stop_Time_UTC;Mid_time_UTC;N_scat_SDI;N_rBC_SDI;M_rBC_SDI;N_scat_CVI;N_rBC_CVI;M_rBC_CVI;Qs
