instrument_name,path_to_instrument_folder,has_header_info,has_header,header_start,time_header_name,time_format,separator,file_type,column_names
aimms,C:\Users\haika\Desktop\May_Research\campaign_data\ACE-ENA\aimms,TRUE,TRUE,last,Time(UTC),S,",",ict,Time(UTC);Temperature;Humidity;Pressure;u_w;v_w;Lat;Lon;Alt;u_i;v_i;w_i;Roll;Pitch;Yaw;TAS;w_w;Dimensional Sideslip Angle;Non-dimensional Angle-of-Attack;Non-dimensional Sideslip Angle;Wind Status Flag
cpc,C:\Users\haika\Desktop\May_Research\campaign_data\ACE-ENA\cpc,TRUE,TRUE,last,Start_UTC,S,",",ict,Start_UTC;CPC_Conc_isok;CPC_Conc_3025;CPC_TD;N_CVI;E_factor;CVI_mode;N_uk;D_factor
fcdp,C:\Users\haika\Desktop\May_Research\campaign_data\ACE-ENA\fcdp,TRUE,TRUE,last,Second,S,",",ict,Second;conc(#/L);C:0-1.5;C:1.5-3;C:3-4.5;C:4.5-6;C:6-8;C:8-10;C:10-12;C:12-14;C:14-16;C:16-18;C:18-21;C:21-24;C:24-27;C:27-30;C:30-33;C:33-36;C:36-39;C:39-42;C:42-46;C:46-50;C:50-150
pvm,C:\Users\haika\Desktop\May_Research\campaign_data\ACE-ENA\pvm,FALSE,TRUE,last,Hour,[Hour][Minute][Second],",",csv,Year;Month;Day;Hour;Minute;Second;Epoch;PSA;LWC;Re
pcasp,C:\Users\haika\Desktop\May_Research\campaign_data\ACE-ENA\pcasp,TRUE,TRUE,last,Start_Time_(UTC),S,",",ict,Start_Time_(UTC);0.105;0.115;0.125;0.135;0.145;0.155;0.165;0.175;0.19;0.21;0.23;0.25;0.27;0.29;0.35;0.45;0.55;0.7;0.9;1.1;1.3;1.5;1.7;1.9;2.1;2.3;2.5;2.7;2.9;3.1;Num_Conc_(#/cm^3);Area_Conc_(um^2/cm^3);Vol_Conc_(um^3/cm^3);Data_Flag;Cloud_Flag
