instrument_name,path_to_instrument_folder,has_header_info,has_header,header_start,time_header_name,time_format,separator,file_type,column_names
ccn,C:\Users\haika\Desktop\May_Research\campaign_data\TCAP2012\ccn,TRUE,TRUE,last,Time,YYYY-MM-DD HH:MM:SS,",",txt,Time;SS(%)_A;deltaT_A;CCN_Conc_A;SS(%)_B;deltaT_B;CCN_Conc_B
cdp,C:\Users\haika\Desktop\May_Research\campaign_data\TCAP2012\cdp,FALSE,TRUE,last,Time(UTC),HH:MM:SS,",",txt,Time(UTC);LWC(g/2);Number(#/cc);Area(#/cc);Volume(#/cc);2.00000;3.00000;4.00000;5.00000;6.00000;7.00000;8.00000;9.00000;10.0000;11.0000;12.0000;13.0000;14.0000;16.0000;18.0000;20.0000;22.0000;24.0000;26.0000;28.0000;30.0000;32.0000;34.0000;36.0000;38.0000;40.0000;42.0000;44.0000;46.0000;48.0000
cpc,C:\Users\haika\Desktop\May_Research\campaign_data\TCAP2012\cpc,FALSE,TRUE,last,Start_Time_(UTC),YYYY-MM-DD HH:MM:SS,",",txt,Start_Time_(UTC);3010_Conc_(#/cm3);3025_Conc_(#/cm3)
iwg-1,C:\Users\haika\Desktop\May_Research\campaign_data\TCAP2012\iwg-1,TRUE,TRUE,1,Date_Time,YYYY-MM-DD HH:MM:SS,",",txt,IWG1;Date_Time;Lat;Lon;GPS_MSL_Alt;WGS_84_Alt;Press_Alt;Radar_Alt;Grnd_Spd;True_Airspeed;Indicated_Airspeed;Mach_Number;Vert_Velocity;True_Hdg;Track;Drift;Pitch;Roll;Side_slip;Angle_of_Attack;Ambient_Temp;Dew_Point;Total_Temp;Static_Press;Dynamic_Press;Cabin_Pressure;Wind_speed;Wind_Dir;Vert_Wind_Spd;Solar_Zenith;Sun_Elev_AC;Sun_Az_Grd;Sun_Az_AC;Flag_qc;Flag_ac;Flag_SPLATT;Flag_cloud;Flag_cloudP;RH_water;RH_ice;Theta;Cabin_Temperature
nephelometer,C:\Users\haika\Desktop\May_Research\campaign_data\TCAP2012\nephelometer,FALSE,FALSE,last,time,H.hh,\s+,dat,time;hh;mm;ss;lats;lons;alts;tbs;tgs;trs;bbs;bgs;brs;neph_P;neph_T;neph_R;pmet;tmet;met_RH
psap,C:\Users\haika\Desktop\May_Research\campaign_data\TCAP2012\psap,TRUE,TRUE,last,Start_UTC,S,",",ict,Start_UTC;Stop_UTC;Ba_B;Ba_G;Ba_R
sp2,C:\Users\haika\Desktop\May_Research\campaign_data\TCAP2012\sp2,TRUE,TRUE,last,UTC,MM/DD/YY HH:MM:SS,"	",txt,UTC;ng/m3
uhsas,C:\Users\haika\Desktop\May_Research\campaign_data\TCAP2012\uhsas,TRUE,TRUE,last,Start_Time_(UTC),YYYY-MM-DD HH:MM:SS,",",txt,Start_Time_(UTC);0.0609;0.0626;0.0644;0.0663;0.0682;0.0701;0.0722;0.0743;0.0764;0.0786;0.0809;0.0832;0.0856;0.0881;0.0906;0.0932;0.0959;0.0987;0.1015;0.1044;0.1074;0.1105;0.1137;0.1170;0.1204;0.1238;0.1274;0.1311;0.1349;0.1388;0.1428;0.1469;0.1511;0.1555;0.1599;0.1645;0.1693;0.1742;0.1792;0.1844;0.1897;0.1951;0.2008;0.2066;0.2125;0.2186;0.2249;0.2314;0.2381;0.2449;0.2520;0.2593;0.2667;0.2744;0.2823;0.2905;0.2989;0.3075;0.3163;0.3255;0.3348;0.3445;0.3544;0.3646;0.3752;0.3860;0.3971;0.4085;0.4203;0.4324;0.4449;0.4577;0.4709;0.4845;0.4985;0.5128;0.5276;0.5428;0.5585;0.5746;0.5911;0.6082;0.6257;0.6437;0.6623;0.6814;0.7010;0.7212;0.7420;0.7634;0.7854;0.8080;0.8313;0.8553;0.8800;0.9053;0.9314;0.9583;0.9859;Num_Conc_(#/cm^3);Area_Conc_(um^2/cm^3);Vol_Conc_(um^3/cm^3);Data_Flag
wcm,C:\Users\haika\Desktop\May_Research\campaign_data\TCAP2012\wcm,FALSE,TRUE,last,Time(UTC),HH:MM:SS,",",txt,Time(UTC);WCM_TWC(g/m3);WCM_083(g/m3);WCM_021(g/m3)
