Type,bin_diams
Aerosol,"61.0, 63.0, 64.0, 66.0, 68.0, 70.0, 72.0, 74.0, 76.0, 79.0, 81.0, 83.0, 86.0, 88.0, 91.0, 93.0, 96.0, 99.0, 102.0, 104.0, 107.0, 111.0, 114.0, 117.0, 120.0, 124.0, 127.0, 131.0, 135.0, 139.0, 143.0, 147.0, 151.0, 155.0, 160.0, 165.0, 169.0, 174.0, 179.0, 184.0, 190.0, 195.0, 201.0, 207.0, 213.0, 219.0, 225.0, 231.0, 238.0, 245.0, 252.0, 259.0, 267.0, 274.0, 282.0, 291.0, 299.0, 308.0, 316.0, 325.0, 335.0, 345.0, 354.0, 365.0, 375.0, 386.0, 397.0, 409.0, 420.0, 432.0, 445.0, 458.0, 471.0, 485.0, 499.0, 513.0, 528.0, 543.0, 559.0, 575.0, 591.0, 608.0, 626.0, 644.0, 662.0, 681.0, 701.0, 721.0, 742.0, 763.0, 785.0, 808.0, 831.0, 855.0, 880.0, 905.0, 932.0, 958.0, 986.0"
Cloud,"0.75, 2.25, 3.75, 5.25, 7.0, 9.0, 11.0, 13.0, 15.0, 17.0, 19.5, 22.5, 25.5, 28.5, 31.5, 34.5, 37.5, 40.5, 44.0, 48.0, 100.0"
