Type,bin_diams
Aerosol,"60.9, 62.6, 64.4, 66.3, 68.2, 70.1, 72.2, 74.3, 76.4, 78.6, 80.9, 83.2, 85.6, 88.1, 90.6, 93.2, 95.9, 98.7, 101.5, 104.4, 107.4, 110.5, 113.7, 117.0, 120.4, 123.8, 127.4, 131.1, 134.9, 138.8, 142.8, 146.9, 151.1, 155.5, 159.9, 164.5, 169.3, 174.2, 179.2, 184.4, 189.7, 195.1, 200.8, 206.6, 212.5, 218.6, 224.9, 231.4, 238.1, 244.9, 252.0, 259.3, 266.7, 274.4, 282.3, 290.5, 298.9, 307.5, 316.3, 325.5, 334.8, 344.5, 354.4, 364.6, 375.2, 386.0, 397.1, 408.5, 420.3, 432.4, 444.9, 457.7, 470.9, 484.5, 498.5, 512.8, 527.6, 542.8, 558.5, 574.6, 591.1, 608.2, 625.7, 643.7, 662.3, 681.4, 701.0, 721.2, 742.0, 763.4, 785.4, 808.0, 831.3, 855.3, 880.0, 905.3, 931.4, 958.3, 985.9"
Cloud,"2.00, 3.00, 4.00, 5.00, 6.00, 7.00, 8.00, 9.00, 10.00, 11.00, 12.00, 13.00, 14.00, 16.00, 18.00, 20.00, 22.00, 24.00, 26.00, 28.00, 30.00, 32.00, 34.00, 36.00, 38.00, 40.00, 42.00, 44.00, 46.00, 48.00"
