Type,bin_diams
Aerosol,"61.0, 63.0, 65.0, 67.0, 69.0, 71.0, 73.0, 75.0, 77.0, 79.0, 82.0, 84.0, 87.0, 89.0, 92.0, 95.0, 97.0, 100.0, 103.0, 106.0, 109.0, 113.0, 116.0, 120.0, 123.0, 127.0, 131.0, 134.0, 138.0, 143.0, 147.0, 151.0, 156.0, 160.0, 165.0, 170.0, 175.0, 180.0, 186.0, 191.0, 197.0, 203.0, 209.0, 215.0, 221.0, 228.0, 235.0, 241.0, 249.0, 256.0, 264.0, 272.0, 280.0, 288.0, 296.0, 305.0, 314.0, 324.0, 333.0, 343.0, 353.0, 364.0, 375.0, 386.0, 397.0, 409.0, 421.0, 434.0, 447.0, 460.0, 474.0, 488.0, 502.0, 517.0, 533.0, 548.0, 565.0, 582.0, 599.0, 617.0, 635.0, 654.0, 673.0, 693.0, 714.0, 735.0, 757.0, 780.0, 803.0, 827.0, 851.0, 876.0, 903.0, 929.0, 957.0, 985.0"
Cloud,"0.6395, 0.6955, 0.735, 0.7875, 0.8535, 0.934, 0.994, 1.195, 1.52, 1.9, 2.535, 3.6, 5.395, 8.41, 11.95, 15.85, 21.1, 28.1, 37.3, 49.4"
