Type,bin_diams
Aerosol,"105.0, 115.0, 125.0, 135.0, 145.0, 155.0, 165.0, 175.0, 190.0, 210.0, 230.0, 250.0, 270.0, 290.0, 350.0, 450.0, 550.0, 700.0, 900.0, 1100.0, 1300.0, 1500.0, 1700.0, 1900.0, 2100.0, 2300.0, 2500.0, 2700.0, 2900.0, 3100.0"
Cloud,"0.75, 2.25, 3.75, 5.25, 7.0, 9.0, 11.0, 13.0, 15.0, 17.0, 19.5, 22.5, 25.5, 28.5, 31.5, 34.5, 37.5, 40.5, 44.0, 48.0, 100.0"
