Type,bin_diams
Aerosol,"61.0, 63.0, 64.0, 66.0, 68.0, 70.0, 72.0, 74.0, 76.0, 79.0, 81.0, 83.0, 86.0, 88.0, 91.0, 93.0, 96.0, 99.0, 102.0, 104.0, 107.0, 111.0, 114.0, 117.0, 120.0, 124.0, 127.0, 131.0, 135.0, 139.0, 143.0, 147.0, 151.0, 155.0, 160.0, 165.0, 169.0, 174.0, 179.0, 184.0, 190.0, 195.0, 201.0, 207.0, 213.0, 219.0, 225.0, 231.0, 238.0, 245.0, 252.0, 259.0, 267.0, 274.0, 282.0, 291.0, 299.0, 308.0, 316.0, 325.0, 335.0, 345.0, 354.0, 365.0, 375.0, 386.0, 397.0, 409.0, 420.0, 432.0, 445.0, 458.0, 471.0, 485.0, 499.0, 513.0, 528.0, 543.0, 559.0, 575.0, 591.0, 608.0, 626.0, 644.0, 662.0, 681.0, 701.0"
Cloud,"2.5, 3.5, 4.5, 5.5, 6.5, 7.5, 8.5, 9.5, 10.5, 11.5, 12.5, 13.5, 15.0, 17.0, 19.0, 21.0, 23.0, 25.0, 27.0, 29.0, 31.0, 33.0, 35.0, 37.0, 39.0, 41.0, 43.0, 45.0, 47.0, 49.0"
