Type,bin_diams
Aerosol,"68.0, 70.0, 72.0, 74.0, 76.0, 78.0, 80.0, 83.0, 85.0, 87.0, 90.0, 92.0, 95.0, 98.0, 101.0, 104.0, 107.0, 110.0, 113.0, 116.0, 119.0, 123.0, 126.0, 130.0, 134.0, 138.0, 142.0, 146.0, 150.0, 154.0, 159.0, 163.0, 168.0, 173.0, 178.0, 183.0, 188.0, 194.0, 199.0, 205.0, 211.0, 217.0, 223.0, 230.0, 236.0, 243.0, 250.0, 257.0, 265.0, 272.0, 280.0, 288.0, 296.0, 305.0, 314.0, 323.0, 332.0, 342.0, 352.0, 362.0, 372.0, 383.0, 394.0, 405.0, 417.0, 429.0, 441.0, 454.0, 467.0, 481.0, 494.0, 509.0, 523.0, 538.0, 554.0, 570.0, 586.0, 603.0, 621.0, 638.0, 657.0, 676.0, 695.0, 715.0, 736.0, 757.0, 779.0, 801.0, 825.0, 848.0, 873.0, 898.0, 924.0, 950.0, 978.0, 1006.0, 1035.0, 1065.0, 1096.0"
Cloud,"2.5, 3.5, 4.5, 5.5, 6.5, 7.5, 8.5, 9.5, 10.5, 11.5, 12.5, 13.5, 15.0, 17.0, 19.0, 21.0, 23.0, 25.0, 27.0, 29.0, 31.0, 33.0, 35.0, 37.0, 39.0, 41.0, 43.0, 45.0, 47.0, 49.0"
