Type,bin_diams
Aerosol,"61.0, 63.0, 65.0, 67.0, 68.0, 70.0, 72.0, 75.0, 77.0, 79.0, 81.0, 84.0, 86.0, 88.0, 91.0, 94.0, 96.0, 99.0, 102.0, 105.0, 108.0, 111.0, 114.0, 118.0, 121.0, 124.0, 128.0, 132.0, 135.0, 139.0, 143.0, 147.0, 152.0, 156.0, 161.0, 165.0, 170.0, 175.0, 180.0, 185.0, 190.0, 196.0, 202.0, 207.0, 213.0, 220.0, 226.0, 232.0, 239.0, 246.0, 253.0, 260.0, 268.0, 276.0, 284.0, 292.0, 300.0, 309.0, 318.0, 327.0, 336.0, 346.0, 356.0, 366.0, 377.0, 388.0, 399.0, 410.0, 422.0, 434.0,
 447.0, 460.0, 473.0, 487.0, 501.0, 515.0, 530.0, 545.0, 561.0, 577.0,
 594.0, 611.0, 628.0, 647.0, 665.0, 684.0, 704.0, 724.0, 745.0, 767.0,
 789.0"
Cloud,"0.575, 0.645, 0.715, 0.785, 0.855, 0.925, 0.995, 1.065, 1.135, 1.21, 1.375, 1.75, 2.25, 2.75, 3.25, 3.75, 4.5, 5.75, 6.85, 7.55, 9.05, 11.35, 13.75, 17.5, 22.5, 27.5, 32.5, 37.5, 42.5, 47.5"
