original,new
UTC,UTC
Date,Date
nephelometer_lats,Latitude
nephelometer_lons,Longitude
nephelometer_alts,Altitude
nephelometer_tmet,Temperature
nephelometer_met_RH,Rel_humidity
nephelometer_pmet,Pressure
,U
,V
iwg-1_Vert_Wind_Spd,W
ccn_SS_A(%),Supersaturation
ccn_CCN_Conc_A(#/cc),Number_Concentration
cpc_CPC_Conc_b(#/cc),CNgt3nm
cpc_ CPC_Conc_a(#/cc),CNgt10nm
sp2_Mass_ng_m3,BC_Mass
cdp_LWC(g/2),LWC
cdp_2.00000,cbin1
cdp_3.00000,cbin2
cdp_4.00000,cbin3
cdp_5.00000,cbin4
cdp_6.00000,cbin5
cdp_7.00000,cbin6
cdp_8.00000,cbin7
cdp_9.00000,cbin8
cdp_10.0000,cbin9
cdp_11.0000,cbin10
cdp_12.0000,cbin11
cdp_13.0000,cbin12
cdp_14.0000,cbin13
cdp_16.0000,cbin14
cdp_18.0000,cbin15
cdp_20.0000,cbin16
cdp_22.0000,cbin17
cdp_24.0000,cbin18
cdp_26.0000,cbin19
cdp_28.0000,cbin20
cdp_30.0000,cbin21
cdp_32.0000,cbin22
cdp_34.0000,cbin23
cdp_36.0000,cbin24
cdp_38.0000,cbin25
cdp_40.0000,cbin26
cdp_42.0000,cbin27
cdp_44.0000,cbin28
cdp_46.0000,cbin29
cdp_48.0000,cbin30
uhsas_0.0609,bin1
uhsas_0.0626,bin2
uhsas_0.0644,bin3
uhsas_0.0663,bin4
uhsas_0.0682,bin5
uhsas_0.0701,bin6
uhsas_0.0722,bin7
uhsas_0.0743,bin8
uhsas_0.0764,bin9
uhsas_0.0786,bin10
uhsas_0.0809,bin11
uhsas_0.0832,bin12
uhsas_0.0856,bin13
uhsas_0.0881,bin14
uhsas_0.0906,bin15
uhsas_0.0932,bin16
uhsas_0.0959,bin17
uhsas_0.0987,bin18
uhsas_0.1015,bin19
uhsas_0.1044,bin20
uhsas_0.1074,bin21
uhsas_0.1105,bin22
uhsas_0.1137,bin23
uhsas_0.1170,bin24
uhsas_0.1204,bin25
uhsas_0.1238,bin26
uhsas_0.1274,bin27
uhsas_0.1311,bin28
uhsas_0.1349,bin29
uhsas_0.1388,bin30
uhsas_0.1428,bin31
uhsas_0.1469,bin32
uhsas_0.1511,bin33
uhsas_0.1555,bin34
uhsas_0.1599,bin35
uhsas_0.1645,bin36
uhsas_0.1693,bin37
uhsas_0.1742,bin38
uhsas_0.1792,bin39
uhsas_0.1844,bin40
uhsas_0.1897,bin41
uhsas_0.1951,bin42
uhsas_0.2008,bin43
uhsas_0.2066,bin44
uhsas_0.2125,bin45
uhsas_0.2186,bin46
uhsas_0.2249,bin47
uhsas_0.2314,bin48
uhsas_0.2381,bin49
uhsas_0.2449,bin50
uhsas_0.2520,bin51
uhsas_0.2593,bin52
uhsas_0.2667,bin53
uhsas_0.2744,bin54
uhsas_0.2823,bin55
uhsas_0.2905,bin56
uhsas_0.2989,bin57
uhsas_0.3075,bin58
uhsas_0.3163,bin59
uhsas_0.3255,bin60
uhsas_0.3348,bin61
uhsas_0.3445,bin62
uhsas_0.3544,bin63
uhsas_0.3646,bin64
uhsas_0.3752,bin65
uhsas_0.3860,bin66
uhsas_0.3971,bin67
uhsas_0.4085,bin68
uhsas_0.4203,bin69
uhsas_0.4324,bin70
uhsas_0.4449,bin71
uhsas_0.4577,bin72
uhsas_0.4709,bin73
uhsas_0.4845,bin74
uhsas_0.4985,bin75
uhsas_0.5128,bin76
uhsas_0.5276,bin77
uhsas_0.5428,bin78
uhsas_0.5585,bin79
uhsas_0.5746,bin80
uhsas_0.5911,bin81
uhsas_0.6082,bin82
uhsas_0.6257,bin83
uhsas_0.6437,bin84
uhsas_0.6623,bin85
uhsas_0.6814,bin86
uhsas_0.7010,bin87
uhsas_0.7212,bin88
uhsas_0.7420,bin89
uhsas_0.7634,bin90
uhsas_0.7854,bin91
uhsas_0.8080,bin92
uhsas_0.8313,bin93
uhsas_0.8553,bin94
uhsas_0.8800,bin95
uhsas_0.9053,bin96
uhsas_0.9314,bin97
uhsas_0.9583,bin98
uhsas_0.9859,bin99
nephelometer_tbs,Sc450_total
nephelometer_tgs,Sc550_total
nephelometer_trs,Sc700_total
psap_ Ba_B,Abs470_total
psap_ Ba_G,Abs532_total
psap_ Ba_R,Abs660_total
