instrument_name,path_to_instrument_folder,has_header_info,has_header,header_start,time_header_name,time_format,separator,file_type,column_names
uhsas-1,C:\Users\haika\Desktop\May_Research\campaign_data\ISDAC\uhsas-1,TRUE,TRUE,last,HH,[HH][MM][SS],",\s*",txt,HH;MM;SS;CVIFlg;PCTcon;CN7610;TSI3775;Err3775;UHSAS-total;UHSASc7to99;UHSAS12to99;UVFlow;UHSASchan01;UHSASchan02;UHSASchan03;UHSASchan04;UHSASchan05;UHSASchan06;UHSASchan07;UHSASchan08;UHSASchan09;UHSASchan10;UHSASchan11;UHSASchan12;UHSASchan13;UHSASchan14;UHSASchan15;UHSASchan16;UHSASchan17;UHSASchan18;UHSASchan19;UHSASchan20;UHSASchan21;UHSASchan22;UHSASchan23;UHSASchan24;UHSASchan25;UHSASchan26;UHSASchan27;UHSASchan28;UHSASchan29;UHSASchan30;UHSASchan31;UHSASchan32;UHSASchan33;UHSASchan34;UHSASchan35;UHSASchan36;UHSASchan37;UHSASchan38;UHSASchan39;UHSASchan40;UHSASchan41;UHSASchan42;UHSASchan43;UHSASchan44;UHSASchan45;UHSASchan46;UHSASchan47;UHSASchan48;UHSASchan49
uhsas-2,C:\Users\haika\Desktop\May_Research\campaign_data\ISDAC\uhsas-2,TRUE,TRUE,last,HH,[HH][MM][SS],",\s*",txt,HH;MM;SS;UHSASchan50;UHSASchan51;UHSASchan52;UHSASchan53;UHSASchan54;UHSASchan55;UHSASchan56;UHSASchan57;UHSASchan58;UHSASchan59;UHSASchan60;UHSASchan61;UHSASchan62;UHSASchan63;UHSASchan64;UHSASchan65;UHSASchan66;UHSASchan67;UHSASchan68;UHSASchan69;UHSASchan70;UHSASchan71;UHSASchan72;UHSASchan73;UHSASchan74;UHSASchan75;UHSASchan76;UHSASchan77;UHSASchan78;UHSASchan79;UHSASchan80;UHSASchan81;UHSASchan82;UHSASchan83;UHSASchan84;UHSASchan85;UHSASchan86;UHSASchan87;UHSASchan88;UHSASchan89;UHSASchan90;UHSASchan91;UHSASchan92;UHSASchan93;UHSASchan94;UHSASchan95;UHSASchan96;UHSASchan97;UHSASchan98;UHSASchan99
radiometer,C:\Users\haika\Desktop\May_Research\campaign_data\ISDAC\radiometer,TRUE,TRUE,last,HH,[HH][MM][SS],",\s*",txt,HH;MM;SS;Altit;DecAng;EleAng;AziAng;HouAng;EncAng;ZenAng;VisUpT;VisDnT;DifRadU;DifRadD;DirRadU;UPCsT;DNCsT;UPDmT;DNDmT;IRUpSE;IRDnSE;IRUp_N;IRDn_N;IRUpSW;IRDnSW;EpIR_U;EpIR_D;KT-19;Brg01;Range01;MastrLAT;MasterLON;PosStat;PITCH;ROLL;HDG
psap,C:\Users\haika\Desktop\May_Research\campaign_data\ISDAC\psap,FALSE,FALSE,last,StartTime_UTC,2008+DOY,",",txt,Station_ID;Year;StartTime_UTC;Flags;CN_control;CN_ambient;Bap_G;RefBsp_B;RefBsp_G;RefBsp_R;RefBbsp_B;RefBbsp_G;RefBbsp_R;WetBsp_B;WetBsp_G;WetBsp_R;WetBbsp_B;WetBbsp_G;WetBbsp_R;RH_Inlet;T_Inlet;RH_refInlet;T_refInlet;RH_refNeph;T_refNeph;RH_S1;T_S1;RH_S2;T_S2;RH_wetInlet;T_wetInlet;RH_wetNeph;T_wetNeph;RH_Ambient;T_Ambient;P_ambient;P_refNeph;P_wetNeph;W_S;W_D;Bap_B_3W;Bap_G_3W;Bap_R_3W
cdp,C:\Users\haika\Desktop\May_Research\campaign_data\ISDAC\cdp,TRUE,TRUE,last,time,HHMMSS,",",cdf-cdp-isdac,time; timevec; CDP_conc_0; CDP_conc_1; CDP_conc_2; CDP_conc_3; CDP_conc_4; CDP_conc_5; CDP_conc_6; CDP_conc_7; CDP_conc_8; CDP_conc_9; CDP_conc_10; CDP_conc_11; CDP_conc_12; CDP_conc_13; CDP_conc_14; CDP_conc_15; CDP_conc_16; CDP_conc_17; CDP_conc_18; CDP_conc_19; CDP_conc_20; CDP_conc_21; CDP_conc_22; CDP_conc_23; CDP_conc_24; CDP_conc_25; CDP_conc_26; CDP_conc_27; CDP_conc_28; CDP_conc_29; CDP_n
convair,C:\Users\haika\Desktop\May_Research\campaign_data\ISDAC\convair,TRUE,TRUE,last,time_offset,2008+S,",",cdf-convair-isdac,time_offset; ALAT_0; ALAT_1; ALAT_2; ALAT_3; ALAT_4; ALAT_H_0; ALAT_H_1; ALAT_H_2; ALAT_H_3; ALAT_H_4; ALNG_0; ALNG_1; ALNG_2; ALNG_3; ALNG_4; ALNG_H_0; ALNG_H_1; ALNG_H_2; ALNG_H_3; ALNG_H_4; ALPHA_0; ALPHA_1; ALPHA_2; ALPHA_3; ALPHA_4; ALPHA_858_0; ALPHA_858_1; ALPHA_858_2; ALPHA_858_3; ALPHA_858_4; ALT_0; ALT_1; ALT_2; ALT_3; ALT_4; ALTB_0; ALTB_1; ALTB_2; ALTB_3; ALTB_4; ALT_G_0; ALT_G_1; ALT_G_2; ALT_G_3; ALT_G_4; ALT_H_0; ALT_H_1; ALT_H_2; ALT_H_3; ALT_H_4; ANORM_0; ANORM_1; ANORM_2; ANORM_3; ANORM_4; ANORM_H_0; ANORM_H_1; ANORM_H_2; ANORM_H_3; ANORM_H_4; AVERT_0; AVERT_1; AVERT_2; AVERT_3; AVERT_4; BETA_0; BETA_1; BETA_2; BETA_3; BETA_4; BETA_858_0; BETA_858_1; BETA_858_2; BETA_858_3; BETA_858_4; DP_0; DP_1; DP_2; DP_3; DP_4; EVEL_0; EVEL_1; EVEL_2; EVEL_3; EVEL_4; EVEL_H_0; EVEL_H_1; EVEL_H_2; EVEL_H_3; EVEL_H_4; EWND_H_0; EWND_H_1; EWND_H_2; EWND_H_3; EWND_H_4; EWND_P_0; EWND_P_1; EWND_P_2; EWND_P_3; EWND_P_4; GSPD_0; GSPD_1; GSPD_2; GSPD_3; GSPD_4; GSPD_G_0; GSPD_G_1; GSPD_G_2; GSPD_G_3; GSPD_G_4; HDG_0; HDG_1; HDG_2; HDG_3; HDG_4; HDG_H_0; HDG_H_1; HDG_H_2; HDG_H_3; HDG_H_4; HOUR; IAS_0; IAS_1; IAS_2; IAS_3; IAS_4; LAT_0; LAT_1; LAT_2; LAT_3; LAT_4; LAT_G_0; LAT_G_1; LAT_G_2; LAT_G_3; LAT_G_4; LAT_H_0; LAT_H_1; LAT_H_2; LAT_H_3; LAT_H_4; LON_0; LON_1; LON_2; LON_3; LON_4; LON_G_0; LON_G_1; LON_G_2; LON_G_3; LON_G_4; LON_H_0; LON_H_1; LON_H_2; LON_H_3; LON_H_4; LRDP_0; LRDP_1; LRDP_2; LRDP_3; LRDP_4; LRH2O_0; LRH2O_1; LRH2O_2; LRH2O_3; LRH2O_4; LRH2ODEN_0; LRH2ODEN_1; LRH2ODEN_2; LRH2ODEN_3; LRH2ODEN_4; LRH2OMR_0; LRH2OMR_1; LRH2OMR_2; LRH2OMR_3; LRH2OMR_4; LRH2OPPT_0; LRH2OPPT_1; LRH2OPPT_2; LRH2OPPT_3; LRH2OPPT_4; LRPRESS_0; LRPRESS_1; LRPRESS_2; LRPRESS_3; LRPRESS_4; LRTEMP_0; LRTEMP_1; LRTEMP_2; LRTEMP_3; LRTEMP_4; MINUTE; NVEL_0; NVEL_1; NVEL_2; NVEL_3; NVEL_4; NVEL_H_0; NVEL_H_1; NVEL_H_2; NVEL_H_3; NVEL_H_4; NWND_H_0; NWND_H_1; NWND_H_2; NWND_H_3; NWND_H_4; NWND_P_0; NWND_P_1; NWND_P_2; NWND_P_3; NWND_P_4; OATL_RMNT_0; OATL_RMNT_1; OATL_RMNT_2; OATL_RMNT_3; OATL_RMNT_4; OATR_0; OATR_1; OATR_2; OATR_3; OATR_4; PDF_0; PDF_1; PDF_2; PDF_3; PDF_4; PDFC_0; PDFC_1; PDFC_2; PDFC_3; PDFC_4; PDR_0; PDR_1; PDR_2; PDR_3; PDR_4; PDR_858_0; PDR_858_1; PDR_858_2; PDR_858_3; PDR_858_4; PITCH_0; PITCH_1; PITCH_2; PITCH_3; PITCH_4; PITCH_H_0; PITCH_H_1; PITCH_H_2; PITCH_H_3; PITCH_H_4; PRATE_0; PRATE_1; PRATE_2; PRATE_3; PRATE_4; PRATE_H_0; PRATE_H_1; PRATE_H_2; PRATE_H_3; PRATE_H_4; PSF_0; PSF_1; PSF_2; PSF_3; PSF_4; PSFC_0; PSFC_1; PSFC_2; PSFC_3; PSFC_4; PSR_858_0; PSR_858_1; PSR_858_2; PSR_858_3; PSR_858_4; RICED_0; RICED_1; RICED_2; RICED_3; RICED_4; RICET_0; RICET_1; RICET_2; RICET_3; RICET_4; ROLL_0; ROLL_1; ROLL_2; ROLL_3; ROLL_4; ROLL_H_0; ROLL_H_1; ROLL_H_2; ROLL_H_3; ROLL_H_4; RRATE_0; RRATE_1; RRATE_2; RRATE_3; RRATE_4; RRATE_H_0; RRATE_H_1; RRATE_H_2; RRATE_H_3; RRATE_H_4; SECOND; TASL_0; TASL_1; TASL_2; TASL_3; TASL_4; TASR_0; TASR_1; TASR_2; TASR_3; TASR_4; TDRALTB_0; TDRALTB_1; TDRALTB_2; TDRALTB_3; TDRALTB_4; TDRALTG_0; TDRALTG_1; TDRALTG_2; TDRALTG_3; TDRALTG_4; TDREDDY_0; TDREDDY_1; TDREDDY_2; TDREDDY_3; TDREDDY_4; TDREDDYFLG_0; TDREDDYFLG_1; TDREDDYFLG_2; TDREDDYFLG_3; TDREDDYFLG_4; TDRICINGFLG_0; TDRICINGFLG_1; TDRICINGFLG_2; TDRICINGFLG_3; TDRICINGFLG_4; TDRLAT_0; TDRLAT_1; TDRLAT_2; TDRLAT_3; TDRLAT_4; TDRLON_0; TDRLON_1; TDRLON_2; TDRLON_3; TDRLON_4; TDRRH1_0; TDRRH1_1; TDRRH1_2; TDRRH1_3; TDRRH1_4; TDRRH1FLG_0; TDRRH1FLG_1; TDRRH1FLG_2; TDRRH1FLG_3; TDRRH1FLG_4; TDRRH2_0; TDRRH2_1; TDRRH2_2; TDRRH2_3; TDRRH2_4; TDRTAS_0; TDRTAS_1; TDRTAS_2; TDRTAS_3; TDRTAS_4; TDRTEMP_0; TDRTEMP_1; TDRTEMP_2; TDRTEMP_3; TDRTEMP_4; TDRUTC_0; TDRUTC_1; TDRUTC_2; TDRUTC_3; TDRUTC_4; TDRWDIR_0; TDRWDIR_1; TDRWDIR_2; TDRWDIR_3; TDRWDIR_4; TDRWFLG_0; TDRWFLG_1; TDRWFLG_2; TDRWFLG_3; TDRWFLG_4; TDRWSPD_0; TDRWSPD_1; TDRWSPD_2; TDRWSPD_3; TDRWSPD_4; TRK_0; TRK_1; TRK_2; TRK_3; TRK_4; TRK_G_0; TRK_G_1; TRK_G_2; TRK_G_3; TRK_G_4; TSL_RMNT_0; TSL_RMNT_1; TSL_RMNT_2; TSL_RMNT_3; TSL_RMNT_4; TSR_0; TSR_1; TSR_2; TSR_3; TSR_4; VIBI_0; VIBI_1; VIBI_2; VIBI_3; VIBI_4; VIBT_0; VIBT_1; VIBT_2; VIBT_3; VIBT_4; VVEL_0; VVEL_1; VVEL_2; VVEL_3; VVEL_4; VVEL_G_0; VVEL_G_1; VVEL_G_2; VVEL_G_3; VVEL_G_4; VVEL_H_0; VVEL_H_1; VVEL_H_2; VVEL_H_3; VVEL_H_4; VWND_P_0; VWND_P_1; VWND_P_2; VWND_P_3; VWND_P_4; WDIR_G_0; WDIR_G_1; WDIR_G_2; WDIR_G_3; WDIR_G_4; WDIR_H_0; WDIR_H_1; WDIR_H_2; WDIR_H_3; WDIR_H_4; WDIR_P_0; WDIR_P_1; WDIR_P_2; WDIR_P_3; WDIR_P_4; WSPD_G_0; WSPD_G_1; WSPD_G_2; WSPD_G_3; WSPD_G_4; WSPD_H_0; WSPD_H_1; WSPD_H_2; WSPD_H_3; WSPD_H_4; WSPD_P_0; WSPD_P_1; WSPD_P_2; WSPD_P_3; WSPD_P_4; YRATE_0; YRATE_1; YRATE_2; YRATE_3; YRATE_4; YRATE_H_0; YRATE_H_1; YRATE_H_2; YRATE_H_3; YRATE_H_4
splat-concentration,C:\Users\haika\Desktop\May_Research\campaign_data\ISDAC\splat-concentration,FALSE,TRUE,last,Time,HH:MM:SS,"	",txt,Date;Time;Concentration_p/cc
