instrument_name,path_to_instrument_folder,has_header_info,has_header,header_start,time_header_name,time_format,separator,file_type,column_names
aimms,C:\Users\haika\Desktop\May_Research\campaign_data\GOAMAZON\aimms,FALSE,FALSE,last,UTC Time,H.hh,\s+,txt,UTC Time;Temperature;Humidity;Barometric Pressure;u_w - North Wind Component;v_w - East Wind Component;GPS Latitude;GPS Longitude;GPS Altitude;u_i - Aircraft Longitudinal Inertial Velocity;v_i - Aircraft Lateral Inertial Velocity;w_i - Aircraft Vertical Velocity;Roll;Pitch;Yaw or Heading;True Air Speed [TAS];w_w - Vertical Wind Component;Dimensional Sideslip Angle;Non-dimensional Angle-of-Attack;Non-dimensional Sideslip Angle;Wind Status Flag
ccn,C:\Users\haika\Desktop\May_Research\campaign_data\GOAMAZON\ccn,TRUE,TRUE,last,Start_UTC,S,",\s+",ict,Start_UTC;DT_A;SS_A;CCN_Conc_A;DT_B;SS_B;CCN_Conc_B;Flag;P_mbar;T_C;CCN_Conc_A_Isok;CCN_Conc_B_Isok;IsokP_mbar;IsokT_C
cdp,C:\Users\haika\Desktop\May_Research\campaign_data\GOAMAZON\cdp,TRUE,TRUE,last,Second,S,",",ict,Second;conc(#/L);C:2-3;C:3-4;C:4-5;C:5-6;C:6-7;C:7-8;C:8-9;C:9-10;C:10-11;C:11-12;C:12-13;C:13-14;C:14-16;C:16-18;C:18-20;C:20-22;C:22-24;C:24-26;C:26-28;C:28-30;C:30-32;C:32-34;C:34-36;C:36-38;C:38-40;C:40-42;C:42-44;C:44-46;C:46-48;C:48-50
cpc,C:\Users\haika\Desktop\May_Research\campaign_data\GOAMAZON\cpc,TRUE,TRUE,last,Start_UTC,S,",",ict,Start_UTC;CPC_Conc_3010;CPC_Conc_3025;Flag;IsokP_mbar;IsokT_C
psap,C:\Users\haika\Desktop\May_Research\campaign_data\GOAMAZON\psap,FALSE,FALSE,last,Time,H.hh,\s+,dat,Time;hh;mm;ss;tbs_tr_corr;tgs_tr_corr;trs_tr_corr;bbs_tr_corr;bgs_tr_corr;brs_tr_corr;tba_corr;tga_corr;tra_corr;neph_P;neph_T;neph_R;Cld_F
uhsas,C:\Users\haika\Desktop\May_Research\campaign_data\GOAMAZON\uhsas,TRUE,TRUE,last,Start_Time_(UTC),S,",",ict,Start_Time_(UTC);0.068;0.070;0.072;0.074;0.076;0.078;0.080;0.083;0.085;0.087;0.090;0.092;0.095;0.098;0.101;0.104;0.107;0.110;0.113;0.116;0.119;0.123;0.126;0.130;0.134;0.138;0.142;0.146;0.150;0.154;0.159;0.163;0.168;0.173;0.178;0.183;0.188;0.194;0.199;0.205;0.211;0.217;0.223;0.230;0.236;0.243;0.250;0.257;0.265;0.272;0.280;0.288;0.296;0.305;0.314;0.323;0.332;0.342;0.352;0.362;0.372;0.383;0.394;0.405;0.417;0.429;0.441;0.454;0.467;0.481;0.494;0.509;0.523;0.538;0.554;0.570;0.586;0.603;0.621;0.638;0.657;0.676;0.695;0.715;0.736;0.757;0.779;0.801;0.825;0.848;0.873;0.898;0.924;0.950;0.978;1.006;1.035;1.065;1.096;Num_Conc_(#/cm^3);Area_Conc_(um^2/cm^3);Vol_Conc_(um^3/cm^3);Counts;Noise;CPC;Total;Max_Flag;CloudFlag
wcm,C:\Users\haika\Desktop\May_Research\campaign_data\GOAMAZON\wcm,FALSE,TRUE,last,Time(UTC),HH:MM:SS,",",txt,Time(UTC);WCM_TWC(g/m3);WCM_083(g/m3);WCM_021(g/m3)
